# m_med gq
100 0.16524425668108794
109.9536900524113 0.16352445946946664
120 0.16472346030080304
130 0.14176794604219867
140 0.21263926576955416
150 0.22691623051677426
160 0.1637140429266482
170 0.1433181480911931
180 0.10212954567878901
190 0.1408354157092751
200 0.13933257915962377
210 0.19653966026926808
220 0.20839930936120102
