# m_med gq
140.0 0.388734403
150.0 0.318816424
160.0 0.301021439
170.0 0.313370076
180.0 0.309135585
190.0 0.351528436
200.0 0.371515232
210.0 0.33795861
220.0 0.287407608
230.0 0.294907831
240.0 0.289273572
250.0 0.368739498
260.0 0.471161956
270.0 0.531789593
280.0 0.582558917
290.0 0.624012048
300.0 0.663742321
