# m_med xs8
325.0 264.992772847
350.0 112.246515925
400.0 106.004936978
450.0 56.4759840814
500.0 39.1355012861
550.0 36.0428797131
600.0 33.9798373412
650.0 24.6782721676
700.0 19.5949607267
